ID,ALOG_SESSION_ID,ALOG_PERS_ID,ALOG_SNIEDZ_ID,ALOG_KLPAK_ID,ALOG_KLAUT_ID,ALOG_CATEGORY,ALOG_EVENTID,ALOG_LEVEL,ALOG_DATUMS,ALOG_INFO,ALOG_DATA1,ALOG_DATA2,ALOG_REQ_ID,ALOG_STACKTRACE,ALOG_APPCODE,ALOG_DISTRICT_ID,ALOG_INFO2,ALOG_START_TS,ALOG_END_TS,,
21,"3,54235433045344E+063",,,,,,,2,14.04.202001:16:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3542354330453435433534333438313838343131323843323837443144464138</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
22,"3,43838314445323E+063",,,,,,,2,14.04.202001:17:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3438383144453231324133393444423841453936413942304539374538323633</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
23,"3,03044463236373E+063",,,,,,,2,14.04.202000:23:41,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3030444632363732444138323432333542344337423934313431374339303043</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
24,"3,64342453546433E+063",,,,,,,2,14.04.202000:24:53,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3643424535464334333734313445333238353845374445353341334144354643</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
25,"4,23833313730464E+063",,,,,,,2,14.04.202000:29:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>4238333137304635334246443434304339363442373439323946394541323845</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
26,"3,73738413241313E+063",,,,,,,2,14.04.202000:30:35,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3737384132413132373431463443364338334445463130364344443444323631</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
27,"4,63943423044355E+063",,,,,,,2,14.04.202000:56:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>4639434230443544433834453433413739393235413934453443423835414241</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
28,"3,23545383434364E+063",,,,,,,2,14.04.202000:58:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3235453834343644434139303434393838423841414543393341433538414634</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
29,,,,,,,,2,14.04.202001:00:00,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,BEGIN,,,,JUPIS2.DB,,,,,,
30,,,,,,,,2,14.04.202001:00:00,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,Insertstart,,,,JUPIS2.DB,,,,,,
31,,,,,,,,2,14.04.202001:00:01,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,Insertfinish,,,,JUPIS2.DB,,,,,,
32,,,,,,,,2,14.04.202001:00:01,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,Updatestart,,,,JUPIS2.DB,,,,,,
33,,,,,,,,2,14.04.202001:00:05,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,"Updatefinish,finalcommit(0)",,,,JUPIS2.DB,,,,,,
34,,,,,,,,2,14.04.202001:00:05,U_INDEX_PCK.SyncAndOptimizeIndex,BEGIN,,,,JUPIS2.DB,,,,,,
35,,,,,,,,2,14.04.202001:00:05,U_INDEX_PCK.SyncAndOptimizeIndex,SyncIN_NMAKS_JP_INDEKSS_CTX_Istart,,,,JUPIS2.DB,,,,,,
36,,,,,,,,2,14.04.202001:00:07,U_INDEX_PCK.SyncAndOptimizeIndex,SyncIN_NMAKS_JP_INDEKSS_CTX_Ifinish,,,,JUPIS2.DB,,,,,,
37,,,,,,,,2,14.04.202001:00:07,U_INDEX_PCK.SyncAndOptimizeIndex,Optimizationdisabled.,,,,JUPIS2.DB,,,,,,
38,,,,,,,,2,14.04.202001:00:07,U_INDEX_PCK.SyncAndOptimizeIndex,END,,,,JUPIS2.DB,,,,,,
39,,,,,,,,2,14.04.202001:00:07,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,Gathertablestats,,,,JUPIS2.DB,,,,,,
40,,,,,,,,2,14.04.202001:00:13,U_INDEX_PCK.IN_NMAKS_JP_INDEX_refresh,END,,,,JUPIS2.DB,,,,,,
41,,,,,,0,3,2,14.04.202001:17:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
42,,,,,,,,4,14.04.202001:17:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
43,"3,84333443835454E+063",,,,,,,2,14.04.202000:53:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3843334438354542323536303431414542454346383744344434413232433437</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
44,"4,53439414432304E+063",,,,,,,2,14.04.202000:54:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>4534394144323038364241423437453339414332353237333832323930333042</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
45,"4,33841414233373E+063",,,,,,,2,14.04.202000:59:32,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>4338414142333730304537383445443941313445323946433334363538363031</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
46,"3,63946393246304E+063",,,,,,,2,14.04.202001:01:04,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3639463932463044463634393443453239443242393437413831383731343432</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
47,"3,94536384632353E+063",,,,,,,2,14.04.202000:31:31,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3945363846323534383736433432344439423945433433363043394643443145</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
48,,,,,,1,1,1,14.04.202000:32:46,PersonuCPSindeksēšanauzdatumu:14.04.202000:01:46,,,,,CPS:INDEX:PERSONAS,,,,,,
49,,,,,,1,2,1,14.04.202000:32:46,PievienotaspersonasCPSindeksam,,,,,CPS:INDEX:PERSONAS,,,,,,
50,,,,,,1,3,1,14.04.202000:32:46,DzēstaspersonasCPSindeksam,,,,,CPS:INDEX:PERSONAS,,,,,,
51,"4,23633393739333E+063",,,,,,,2,14.04.202000:38:32,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>4236333937393332383641343436413738373746343941434338413942344546</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
